,algorithm,dataset,language,phase,duration,energy_consumed,emissions,emissions_rate,cpu_power,cpu_energy
91,decisionTree,breastCancer,R,train,0.03413084348042802,4.301999443107182e-07,9.060061958474541e-08,2.6628144910138844e-06,42.5,4.020035101307764e-07
92,decisionTree,breastCancer,cpp,test,0.00047055149989315,4.86250181618878e-09,1.6081168756463207e-09,3.3877452409584233e-06,42.5,4.671572455242346e-09
93,decisionTree,breastCancer,cpp,train,0.01611903196656684,2.0269420034802118e-07,6.703462055069688e-08,4.157463585704212e-06,42.5,1.894657547646367e-07
94,decisionTree,breastCancer,java,test,0.0009053468704223201,1.0659237702687582e-08,2.271012574794479e-09,2.572901297035113e-06,42.5,1.0142922401428224e-08
95,decisionTree,breastCancer,java,train,0.0008863687515258333,1.0426924184516625e-08,2.2269886074827903e-09,2.572471978074407e-06,42.5,9.925536535404348e-09
96,decisionTree,breastCancer,matlab,test,0.00673287709554032,8.272559002593713e-08,1.8712197561506875e-08,2.767552637821429e-06,42.5,7.760131248721371e-08
97,decisionTree,breastCancer,matlab,train,0.02333959738413488,2.935626308123271e-07,6.230396804165309e-08,2.6566598061887444e-06,42.5,2.744038237465753e-07
98,decisionTree,breastCancer,python,test,0.00215734640757238,2.4662936175311058e-08,5.57865751111066e-09,2.582945413769184e-06,42.5,2.3425696072755038e-08
99,decisionTree,breastCancer,python,train,0.017059842745463006,2.1425451724617573e-07,4.67896764244065e-08,2.7471738132090574e-06,42.5,2.0031614987938496e-07
100,decisionTree,iris,R,test,0.006246948242187454,7.671952137240658e-08,1.534827807919785e-08,2.5020702605129346e-06,42.5,7.198268064746152e-08
101,decisionTree,iris,R,train,0.013293973604838017,1.6633489507215998e-07,3.76242879257423e-08,2.8299901898982237e-06,42.5,1.5558851537881075e-07
102,decisionTree,iris,cpp,test,0.0004955875665472799,5.0976704508482534e-09,1.6858913761636325e-09,3.364663054670304e-06,42.5,4.904831339697719e-09
103,decisionTree,iris,cpp,train,0.0008426763667860333,9.469420504097395e-09,2.919409647197133e-09,3.555358984846339e-06,42.5,8.990126531595405e-09
104,decisionTree,iris,java,test,0.00107487837473546,1.2736205701474792e-08,2.7498549345811907e-09,2.588205792095607e-06,42.5,1.2107933009112324e-08
105,decisionTree,iris,java,train,0.0009988466898599867,1.1737631426917184e-08,2.377463660799813e-09,2.479882423388332e-06,42.5,1.1166897084977894e-08
106,decisionTree,iris,matlab,test,0.005284269650777134,6.450700759887696e-08,1.4591227090835573e-08,2.750286139374625e-06,42.5,6.055411365297107e-08
107,decisionTree,iris,matlab,train,0.019236246744791612,2.4161914763627235e-07,4.7923118639889786e-08,2.559197740204518e-06,42.5,2.2588727650819005e-07
108,decisionTree,iris,python,test,0.0021619081497191903,2.47883333100213e-08,5.154863859498617e-09,2.4162924080426486e-06,42.5,2.354072199927436e-08
109,decisionTree,iris,python,train,0.004885371526082303,5.96339934402042e-08,1.2992634778302376e-08,2.6704085808788107e-06,42.5,5.602391229735481e-08
110,decisionTree,wine,R,test,0.009729878107706659,1.2118435016384831e-07,2.638813440502376e-08,2.7241571371828104e-06,42.5,1.1344624338326632e-07
111,decisionTree,wine,R,train,0.12486864725748693,1.5774048655121416e-06,3.3227282998483286e-07,2.6689110194204894e-06,42.5,1.4735042607342757e-06
112,decisionTree,wine,cpp,test,0.0009951597666561366,1.1391876600218557e-08,3.76749864547108e-09,3.7700408716414725e-06,42.5,1.0789589516830516e-08
113,decisionTree,wine,cpp,train,0.07990228056672392,1.0090141070166082e-06,3.1984104010686993e-07,4.0381231358333865e-06,42.5,9.426072701833416e-07
114,decisionTree,wine,java,test,0.00097974936167393,1.156253947152032e-08,2.6154001783000097e-09,2.6662691742330734e-06,42.5,1.1000268989139134e-08
115,decisionTree,wine,java,train,0.00095865726470942,1.13022040437769e-08,2.4292977539409783e-09,2.5782343388742185e-06,42.5,1.0748450402860289e-08
116,decisionTree,wine,matlab,test,0.004856657981872506,5.853026001541704e-08,1.2300270776794958e-08,2.542284331579219e-06,42.5,5.503756028634531e-08
117,decisionTree,wine,matlab,train,0.019399539629618285,2.436720276320423e-07,5.307451218865926e-08,2.747241258328522e-06,42.5,2.2779364828710208e-07
118,decisionTree,wine,python,test,0.002685244878133093,3.149090541733636e-08,7.123116841779816e-09,2.6530710270811035e-06,42.5,2.977829840448168e-08
119,decisionTree,wine,python,train,0.062009580930074006,7.829041977723439e-07,1.65150242522603e-07,2.6674351082882105e-06,42.5,7.314250038729774e-07
120,logisticRegression,breastCancer,R,test,0.007479000091552687,9.269485208723282e-08,2.0967204762723712e-08,2.8029419375867184e-06,42.5,8.684025870429147e-08
121,logisticRegression,breastCancer,R,train,0.3886566480000814,4.911195152335697e-06,1.1108926986777255e-06,2.858288100827111e-06,42.5,4.587521420584785e-06
122,logisticRegression,breastCancer,cpp,test,0.00056415423314315,5.910319678251755e-09,1.7410711961936672e-09,3.1941079081937515e-06,42.5,5.672027956380689e-09
123,logisticRegression,breastCancer,cpp,train,0.009015155566885326,1.1289152295913248e-07,2.938596073979261e-08,3.589995253975307e-06,42.5,1.0559226606995221e-07
124,logisticRegression,breastCancer,java,test,0.0009910345077514234,1.1738090603439898e-08,2.525348205687331e-09,2.588344202979843e-06,42.5,1.1160329536155419e-08
125,logisticRegression,breastCancer,java,train,0.0010076443354288234,1.1933762718130042e-08,2.2754508250291063e-09,2.4100017339403303e-06,42.5,1.1346941744839704e-08
126,logisticRegression,breastCancer,matlab,test,0.02117776870727535,2.6617891369042576e-07,6.020860556111955e-08,2.8421096502069576e-06,42.5,2.488152462023276e-07
